Frame,X,Y
1870,1509,966
1871,1513,962
1872,1519,958
1873,1525,956
1874,1531,954
1875,1538,954
1876,1545,957
1877,1552,959
1878,1560,962
1879,1569,965
1880,1577,970
1881,1586,969
1882,1595,964
1883,1595,957
1884,1590,951
1885,1585,944
1886,1581,938
1887,1578,935
1888,1573,937
1889,1565,943
1890,1558,950
1891,1553,949
1892,1549,945
1893,1548,936
1894,1546,928
1895,1545,923
1896,1542,926
1897,1539,931
1898,1536,938
1899,1536,940
1900,1537,935
1901,1540,930
1902,1542,925
1903,1544,925
1904,1546,929
1905,1548,935
1906,1550,942
1907,1555,947
1908,1563,947
1909,1571,947
1910,1578,948
1911,1579,947
1912,1576,946
1913,1568,945
1914,1561,945
1915,1554,946
1916,1549,944
1917,1544,942
1918,1540,939
1919,1537,938
1920,1534,937
1921,1535,935
1922,1536,933
1923,1536,931
1924,1536,931
1925,1535,932
1926,1535,934
1927,1535,936
1928,1536,939
1929,1539,938
1930,1543,938
1931,1547,939
1932,1551,940
1933,1556,942
1934,1561,945
